City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,82.4,69,20,8.05,few clouds
1,Santo Tomas,PH,14.1079,121.1414,89.01,66,75,4.61,broken clouds
2,Wilmington,US,34.2257,-77.9447,73.0,78,1,17.27,clear sky
3,Albany,US,42.6001,-73.9662,60.8,54,75,1.19,broken clouds
4,Dingle,PH,10.9995,122.6711,87.1,62,85,7.72,overcast clouds
5,Port Alfred,ZA,-33.5906,26.891,67.15,80,63,7.25,broken clouds
6,Provideniya,RU,64.3833,-173.3,23.0,68,20,4.47,few clouds
7,Hobart,AU,-42.8794,147.3294,59.0,38,20,20.71,few clouds
8,Bluff,NZ,-46.6,168.3333,62.01,74,76,5.99,broken clouds
9,Along,IN,28.1667,94.7667,74.03,56,99,2.8,overcast clouds
10,Cidreira,BR,-30.1811,-50.2056,71.37,70,95,19.55,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,42.8,39,1,2.3,clear sky
12,Neiafu,TO,-18.65,-173.9833,82.4,69,40,4.61,scattered clouds
13,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,94,3.44,overcast clouds
14,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,21.85,light snow
15,Jamestown,US,42.097,-79.2353,48.0,49,90,10.36,overcast clouds
16,Butaritari,KI,3.0707,172.7902,82.13,75,54,7.02,light rain
17,Rikitea,PF,-23.1203,-134.9692,78.6,70,9,5.68,clear sky
18,Marawi,PH,7.9986,124.2928,82.99,80,100,3.0,overcast clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,90,5.75,overcast clouds
20,Kapaa,US,22.0752,-159.319,78.8,57,20,16.11,few clouds
21,Kenda,IN,23.2,86.5333,78.8,61,40,14.67,haze
22,Upernavik,GL,72.7868,-56.1549,-12.12,100,97,2.93,overcast clouds
23,Kuala Terengganu,MY,5.3302,103.1408,80.6,83,20,4.61,few clouds
24,Clyde River,CA,70.4692,-68.5914,-7.6,77,1,16.11,clear sky
25,Kaitangata,NZ,-46.2817,169.8464,66.0,57,8,7.0,clear sky
26,Itarema,BR,-2.9248,-39.9167,78.58,84,95,9.73,overcast clouds
27,Honiara,SB,-9.4333,159.95,83.86,78,75,4.16,broken clouds
28,Kahului,US,20.8947,-156.47,78.8,53,20,18.41,few clouds
29,Kodiak,US,57.79,-152.4072,42.8,70,75,5.75,light rain
30,Zaysan,KZ,47.4667,84.8667,46.65,37,100,1.45,overcast clouds
31,Georgetown,MY,5.4112,100.3354,86.0,89,20,4.61,few clouds
32,Hermanus,ZA,-34.4187,19.2345,62.01,91,77,7.83,broken clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,84.2,37,1,5.75,clear sky
34,Saint-Georges,GD,12.0564,-61.7485,80.6,89,20,17.27,few clouds
35,Mar Del Plata,AR,-38.0023,-57.5575,62.01,82,0,6.91,clear sky
36,Mataura,NZ,-46.1927,168.8643,62.01,74,38,5.99,scattered clouds
37,Kavieng,PG,-2.5744,150.7967,84.43,67,92,6.51,overcast clouds
38,Nikolskoye,RU,59.7035,30.7861,37.4,60,0,2.24,clear sky
39,Burns Lake,CA,54.2331,-125.7533,64.4,20,88,3.44,overcast clouds
40,Pevek,RU,69.7008,170.3133,7.07,71,16,4.65,few clouds
41,Ushuaia,AR,-54.8,-68.3,41.0,65,40,3.44,light snow
42,Bonthe,SL,7.5264,-12.505,78.75,82,100,6.08,overcast clouds
43,Naze,JP,28.3667,129.4833,71.6,56,75,10.36,broken clouds
44,Avera,US,33.194,-82.5271,75.2,35,90,5.75,overcast clouds
45,Punta Arenas,CL,-53.15,-70.9167,39.2,87,0,10.36,clear sky
46,Adamantina,BR,-21.6853,-51.0725,75.2,46,0,14.97,clear sky
47,Castro,BR,-24.7911,-50.0119,53.73,97,100,5.77,overcast clouds
48,Omboue,GA,-1.5746,9.2618,76.59,89,100,3.74,overcast clouds
49,Zheleznodorozhnyy,RU,55.7503,38.0042,53.01,70,100,2.24,light rain
50,Mahebourg,MU,-20.4081,57.7,77.0,88,75,2.3,light rain
51,Atuona,PF,-9.8,-139.0333,80.85,72,15,19.53,few clouds
52,Hilo,US,19.7297,-155.09,80.6,54,1,11.5,clear sky
53,Verkhoyansk,RU,67.5447,133.385,11.95,79,97,2.3,overcast clouds
54,Cherskiy,RU,68.75,161.3,18.84,63,1,4.68,clear sky
55,Salalah,OM,17.0151,54.0924,77.0,78,20,4.61,few clouds
56,Bathsheba,BB,13.2167,-59.5167,77.0,73,20,8.05,few clouds
57,Oksovskiy,RU,62.6062,39.8984,28.96,93,38,3.44,scattered clouds
58,Ridgecrest,US,35.6225,-117.6709,66.2,13,75,17.27,broken clouds
59,Rawson,AR,-43.3002,-65.1023,66.2,52,98,3.74,overcast clouds
60,San Cristobal,VE,7.7669,-72.225,78.8,89,20,3.44,few clouds
61,Norman Wells,CA,65.282,-126.8329,50.0,37,75,12.66,broken clouds
62,Corinto,GR,37.9407,22.9573,51.01,52,5,1.01,clear sky
63,Puerto Ayora,EC,-0.7393,-90.3518,76.24,90,23,3.04,few clouds
64,Chokurdakh,RU,70.6333,147.9167,7.2,82,77,6.53,broken clouds
65,Qaanaaq,GL,77.484,-69.3632,-11.52,62,0,7.67,clear sky
66,Severo-Kurilsk,RU,50.6789,156.125,38.84,93,100,23.49,light rain
67,Sambava,MG,-14.2667,50.1667,73.67,90,70,5.61,broken clouds
68,Fortuna,US,40.5982,-124.1573,55.0,71,1,11.5,clear sky
69,Nova Odesa,UA,47.3078,31.7851,46.71,94,100,9.66,overcast clouds
70,Chuy,UY,-33.6971,-53.4616,62.22,84,76,8.55,broken clouds
71,Manaus,BR,-3.1019,-60.025,80.6,89,0,4.61,clear sky
72,Oksfjord,NO,70.2396,22.3479,28.4,86,90,3.44,light snow
73,Cayenne,GF,4.9333,-52.3333,82.0,89,75,8.03,broken clouds
74,Sioux Lookout,CA,50.1001,-91.917,28.4,93,90,5.75,light snow
75,Aklavik,CA,68.2191,-135.0107,44.6,42,100,6.91,light snow
76,Beringovskiy,RU,63.05,179.3167,16.61,74,13,3.11,few clouds
77,Muros,ES,42.7762,-9.0603,53.01,72,18,3.0,few clouds
78,Senneterre,CA,48.3835,-77.2328,48.2,66,20,4.61,few clouds
79,Husavik,IS,66.0449,-17.3389,39.2,81,0,11.5,clear sky
80,Pangai,TO,-19.8,-174.35,82.4,65,40,4.61,scattered clouds
81,Busselton,AU,-33.65,115.3333,66.0,79,29,1.01,scattered clouds
82,Fairbanks,US,64.8378,-147.7164,46.4,56,90,6.91,haze
83,Saint Anthony,US,45.0205,-93.218,43.0,81,90,13.8,overcast clouds
84,Sao Filipe,CV,14.8961,-24.4956,76.33,57,38,11.48,scattered clouds
85,Iquique,CL,-20.2208,-70.1431,68.0,68,90,8.05,overcast clouds
